DM	left_comp	right_comp	left_smiles	right_smiles
DM47	deleobuvir	CD 6168	CN1C2=C(C=CC(=C2)C(=O)NC3(CCC3)C4=NC5=C(N4C)C=C(C=C5)/C=C/C(=O)O)C(=C1C6=NC=C(C=N6)Br)C7CCCC7	CN1C2=C(C(C3CCCC3)=C1C4=NC=C(Br)C=N4)C=CC(C(NC5(C6=NC7=C(C=C(CCC(O)=O)C=C7)N6C)CCC5)=O)=C2
DM48	O-desmethylxanthohumol	desmethyl-a,b-dihydro-xanthohumol	C/C(C)=C\CC1=C(O)C(C(/C=C/C2=CC=C(O)C=C2)=O)=C(O)C=C1O	C/C(C)=C\CC1=C(O)C(C(CCC2=CC=C(O)C=C2)=O)=C(O)C=C1O
DM49	dexamethasone/betamethasone	17-Oxo Dexamethasone	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(CO)=O)=O	C[C@@H]5C[C@H]6[C@@H]7CCC8=CC(C=C[C@]8(C)[C@@]7(F)[C@@H](O)C[C@]6(C)C5=O)=O
DM50	diltiazem	desacetylditiazem	CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC	O[C@@H]1[C@H](C2=CC=C(OC)C=C2)SC3=CC=CC=C3N(CCN(C)C)C1=O
DM51	diphenyl sulfoxide // NAD(P)H // H+	diphenyl sulfide // NAD(P)	C1=CC=C(C=C1)S(=O)C2=CC=CC=C2.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]	C1=CC=C(C=C1)SC2=CC=CC=C2.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
DM52	eltrombopag	SB-611855	CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C	NC1=CC=CC(C2=CC(C(O)=O)=CC=C2)=C1O
DM53	Entacapone	nitroreduction product	CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N	CCN(C(/C(C#N)=C/C1=CC([NH3+])=C(O)C(O)=C1)=O)CC
DM54	estradiol	estrone	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O
DM55	estrone	estradiol	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
DM56	Ethacrynic Acid	Dihydroethacrynate	CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl	CCC(C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
DM57	Exemestane	single reduction products	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C	C[C@]12CC[C@H]3[C@@H](CC(C4=CC(CC[C@]34C)=O)=C)[C@@H]1CCC2=O.C[C@]56CC[C@H]7[C@@H](CC(C8CC(C=C[C@]78C)=O)=C)[C@@H]5CCC6=O
