bigg_id	mnx_id	smiles	formula	charge
hisargser	MNXM744735	NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](N)CC1=CNC=N1)C(=O)N[C@H](CO)C(=O)O	C15H27N8O5	1.0
biggM:M_hisargser	MNXM744735	NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](N)CC1=CNC=N1)C(=O)N[C@H](CO)C(=O)O	C15H27N8O5	1.0
biggM:hisargser	MNXM744735	NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](N)CC1=CNC=N1)C(=O)N[C@H](CO)C(=O)O	C15H27N8O5	1.0
hisasp	MNXM744736	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CC(=O)[O-])C(=O)O	C10H13N4O5	-1.0
biggM:M_hisasp	MNXM744736	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CC(=O)[O-])C(=O)O	C10H13N4O5	-1.0
biggM:hisasp	MNXM744736	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CC(=O)[O-])C(=O)O	C10H13N4O5	-1.0
hiscyscys	MNXM744737	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CS)C(=O)N[C@H](CS)C(=O)O	C12H19N5O4S2	0.0
biggM:M_hiscyscys	MNXM744737	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CS)C(=O)N[C@H](CS)C(=O)O	C12H19N5O4S2	0.0
biggM:hiscyscys	MNXM744737	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CS)C(=O)N[C@H](CS)C(=O)O	C12H19N5O4S2	0.0
hisglnala	MNXM744738	C[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C14H22N6O5	0.0
biggM:M_hisglnala	MNXM744738	C[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C14H22N6O5	0.0
biggM:hisglnala	MNXM744738	C[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C14H22N6O5	0.0
hisglu	MNXM744739	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)O	C11H15N4O5	-1.0
biggM:M_hisglu	MNXM744739	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)O	C11H15N4O5	-1.0
biggM:hisglu	MNXM744739	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)O	C11H15N4O5	-1.0
hisglugln	MNXM744740	NC(=O)CC[C@@H](NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C16H23N6O7	-1.0
biggM:M_hisglugln	MNXM744740	NC(=O)CC[C@@H](NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C16H23N6O7	-1.0
biggM:hisglugln	MNXM744740	NC(=O)CC[C@@H](NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C16H23N6O7	-1.0
hisglylys	MNXM744741	NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H33N7O4	0.0
biggM:M_hisglylys	MNXM744741	NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H33N7O4	0.0
biggM:hisglylys	MNXM744741	NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H33N7O4	0.0
hishislys	MNXM744742	NCCCC[C@H](NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H28N8O4	0.0
biggM:M_hishislys	MNXM744742	NCCCC[C@H](NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H28N8O4	0.0
biggM:hishislys	MNXM744742	NCCCC[C@H](NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H28N8O4	0.0
hislysala	MNXM744743	C[C@@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C15H27N6O4	1.0
biggM:M_hislysala	MNXM744743	C[C@@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C15H27N6O4	1.0
biggM:hislysala	MNXM744743	C[C@@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C15H27N6O4	1.0
hislysglu	MNXM744744	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@H](CCC(=O)[O-])C(=O)O	C17H28N6O6	0.0
biggM:M_hislysglu	MNXM744744	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@H](CCC(=O)[O-])C(=O)O	C17H28N6O6	0.0
biggM:hislysglu	MNXM744744	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@H](CCC(=O)[O-])C(=O)O	C17H28N6O6	0.0
hislysile	MNXM744745	CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H32N6O4	0.0
biggM:M_hislysile	MNXM744745	CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H32N6O4	0.0
biggM:hislysile	MNXM744745	CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C18H32N6O4	0.0
hislysthr	MNXM744746	C[C@@H](O)[C@@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C16H29N6O5	1.0
biggM:M_hislysthr	MNXM744746	C[C@@H](O)[C@@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C16H29N6O5	1.0
biggM:hislysthr	MNXM744746	C[C@@H](O)[C@@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C16H29N6O5	1.0
hislysval	MNXM744747	CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C17H30N6O4	0.0
biggM:M_hislysval	MNXM744747	CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C17H30N6O4	0.0
biggM:hislysval	MNXM744747	CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)O	C17H30N6O4	0.0
hismetgln	MNXM744748	CSCC[C@H](NC(=O)[C@H](N)CC1=CNC=N1)C(=O)N[C@H](CCC(N)=O)C(=O)O	C16H26N6O5S	0.0
biggM:M_hismetgln	MNXM744748	CSCC[C@H](NC(=O)[C@H](N)CC1=CNC=N1)C(=O)N[C@H](CCC(N)=O)C(=O)O	C16H26N6O5S	0.0
biggM:hismetgln	MNXM744748	CSCC[C@H](NC(=O)[C@H](N)CC1=CNC=N1)C(=O)N[C@H](CCC(N)=O)C(=O)O	C16H26N6O5S	0.0
hisphearg	MNXM744749	NC(=[NH2+])NCCC[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C21H31N8O4	1.0
biggM:M_hisphearg	MNXM744749	NC(=[NH2+])NCCC[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C21H31N8O4	1.0
biggM:hisphearg	MNXM744749	NC(=[NH2+])NCCC[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CC1=CNC=N1)C(=O)O	C21H31N8O4	1.0
hisprolys	MNXM744750	N[C@H](CC1=CNC=N1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCC[NH3+])C(=O)O	C17H29N6O4	1.0
biggM:M_hisprolys	MNXM744750	N[C@H](CC1=CNC=N1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCC[NH3+])C(=O)O	C17H29N6O4	1.0
biggM:hisprolys	MNXM744750	N[C@H](CC1=CNC=N1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCC[NH3+])C(=O)O	C17H29N6O4	1.0
histrphis	MNXM744751	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC1=CNC=N1)C(=O)O	C23H26N8O4	0.0
biggM:M_histrphis	MNXM744751	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC1=CNC=N1)C(=O)O	C23H26N8O4	0.0
biggM:histrphis	MNXM744751	N[C@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC1=CNC=N1)C(=O)O	C23H26N8O4	0.0
ibupgluc	MNXM744753	CC(C)CC1=CC=C(C(C)C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)C=C1	C19H26O8	0.0
biggM:M_ibupgluc	MNXM744753	CC(C)CC1=CC=C(C(C)C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)C=C1	C19H26O8	0.0
biggM:ibupgluc	MNXM744753	CC(C)CC1=CC=C(C(C)C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)C=C1	C19H26O8	0.0
ileargile	MNXM744754	CCC(C)[C@@H](N)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@@H](C(=O)O)C(C)CC	C18H37N6O4	1.0
biggM:M_ileargile	MNXM744754	CCC(C)[C@@H](N)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@@H](C(=O)O)C(C)CC	C18H37N6O4	1.0
biggM:ileargile	MNXM744754	CCC(C)[C@@H](N)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@@H](C(=O)O)C(C)CC	C18H37N6O4	1.0
